resource,assetType,optional,exclude,property,shortName,scope,lengthMin,lengthMax,validText,invalidText,invalidCharacters,invalidCharactersStart,invalidCharactersEnd,invalidCharactersConsecutive,regx,staticValues
Microsoft.AnalysisServices/servers,Analysis Services Server,UnitDept,"Org,VmRole", ,assvr,resource group,3,63,Lowercase letters and numbers. Start with lowercase letter.,,,,,,"^[a-z][a-z0-9]{2,62}$",
Microsoft.ApiManagement/service,API Management,UnitDept,"Org,VmRole", ,apims,global,1,50,"Alphanumerics, and hyphens. Start with letter, and end with alphanumeric.",,,,,,"^(?:[a-zA-Z]|[a-zA-Z][a-zA-Z0-9-]{0,48}[a-zA-Z0-9])$",
Microsoft.ApiManagement/service/apis,API Management - API,UnitDept,"Org,VmRole",,apis,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\\?]{1,256}$",
Microsoft.ApiManagement/service/apis/issues,API Management - API Issue,UnitDept,"Org,VmRole",,apii,api,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/apis/issues/attachments,API Management - API Issue Attachment,UnitDept,"Org,VmRole",,apiia,issue,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/apis/issues/comments,API Management - API Issue Comment,UnitDept,"Org,VmRole",,apiic,issue,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/apis/operations,API Management - API Operation,UnitDept,"Org,VmRole",,apio,api,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/apis/operations/tags,API Management - API Operation Tag,UnitDept,"Org,VmRole",,apiot,operation,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/apis/releases,API Management - API Release,UnitDept,"Org,VmRole",,apir,api,1,80,"Alphanumerics, underscores, and hyphens. Start and end with alphanumeric or underscore.",,,,,,"^(?:[a-zA-Z0-9_]|[a-zA-Z0-9_][a-zA-Z0-9_-]{0,78}[a-zA-Z0-9_])$",
Microsoft.ApiManagement/service/apis/schemas,API Management - API Schema,UnitDept,"Org,VmRole",,apis,api,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/apis/tagDescriptions,API Management - API Tag Description,UnitDept,"Org,VmRole",,apitd,api,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/apis/tags,API Management - API Tag,UnitDept,"Org,VmRole",,apitg,api,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/api-version-sets,API Management - API Version Set,UnitDept,"Org,VmRole",,apivs,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/authorizationServers,API Management - Authorization Server,UnitDept,"Org,VmRole",,apias,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/backends,API Management - Backend,UnitDept,"Org,VmRole",,apib,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/certificates,API Management - Certificate,UnitDept,"Org,VmRole",,apic,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/diagnostics,API Management - Diagnostic,UnitDept,"Org,VmRole",,apid,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/groups,API Management - Group,UnitDept,"Org,VmRole",,apig,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/groups/users,API Management - User,UnitDept,"Org,VmRole",,apigu,group,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/identityProviders,API Management - Identity Provider,UnitDept,"Org,VmRole",,apiip,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/loggers,API Management - Logger,UnitDept,"Org,VmRole",,apil,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/notifications,API Management - Notification,UnitDept,"Org,VmRole",,apin,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/notifications/recipientEmails,API Management - Recipient Email,UnitDept,"Org,VmRole",,recem,notification,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/openidConnectProviders,API Management - OpenID Connect Provider,UnitDept,"Org,VmRole",,apioi,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/policies,API Management - Policy,UnitDept,"Org,VmRole",,apipo,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/products,API Management - Product,UnitDept,"Org,VmRole",,apipr,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/products/apis,API Management - Product API,UnitDept,"Org,VmRole",,api,product,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/products/groups,API Management - Product Group,UnitDept,"Org,VmRole",,grp,product,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/products/tags,API Management - Product Tag,UnitDept,"Org,VmRole",,tags,product,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/properties,API Management - Property,UnitDept,"Org,VmRole",,prop,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/subscriptions,API Management - Subscription,UnitDept,"Org,VmRole",,sub,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/tags,API Management - Tag,UnitDept,"Org,VmRole",,tags,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/templates,API Management - Template,UnitDept,"Org,VmRole",,temp,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.ApiManagement/service/users,API Management - User,UnitDept,"Org,VmRole",,user,service,1,256,,"Asterisk, number sign, ampersand, plus, colon, angle brackets, question mark.",*#&+:<>?,,,,"^[^\*#&\+:<>\?]{1,256}$",
Microsoft.AppConfiguration/configurationStores,App Configuration - Configuration Store,UnitDept,"Org,VmRole",,accs,resource group,5,50,"Alphanumerics, underscores, and hyphens.",,,,,,"^[a-zA-Z0-9_-]{5,50}$",
Microsoft.Authorization/locks,Lock,UnitDept,"Org,VmRole",,lock,scope of assignment,1,90,"Alphanumerics, periods, underscores, hyphens, and parenthesis.",Can't end in period,,,.,,"^[a-zA-Z0-9_\.-()]{0,89}[a-zA-Z0-9_-()]$",
Microsoft.Authorization/policyAssignments,Policy Assignment,UnitDept,"Org,VmRole",Display Name,pa,scope of assignment,1,128, ,Can't include percent sign and can't end with period or space.,%,,.  ,,"^(?!.*[\.]$)(?!.* $)[^%]{1,128}$",
Microsoft.Authorization/policyAssignments,Policy Assignment,UnitDept,"Org,VmRole",Resoure Name,pa,scope of assignment,1,64, ,Can't include percent sign and can't end with period or space.,%,,.  ,,"^(?!.*[\.]$)(?!.* $)[^%]{1,64}$",
Microsoft.Authorization/policyAssignments,Policy Assignment,UnitDept,"Org,VmRole",Management Group Resource Name,pa,scope of assignment,1,24, ,Can't include percent sign and can't end with period or space.,%,,.  ,,"^(?!.*[\.]$)(?!.* $)[^%]{1,24}$",
Microsoft.Authorization/policyDefinitions,Policy Definition,UnitDept,"Org,VmRole",Display Name,pd,scope of definition,1,128,Display name can contain any characters.,Can't include percent sign and can't end with period or space.,%,,.  ,,"^(?!.*[\.]$)(?!.* $)[^%]{1,128}$",
Microsoft.Authorization/policyDefinitions,Policy Definition,UnitDept,"Org,VmRole",Resoure Name,pd,scope of definition,1,64,Display name can contain any characters.,Can't include percent sign and can't end with period or space.,%,,.  ,,"^(?!.*[\.]$)(?!.* $)[^%]{1,64}$",
Microsoft.Authorization/policySetDefinitions,Policy Set Definition,UnitDept,"Org,VmRole",Display Name,psd,scope of definition,1,128,Display name can contain any characters.,Can't include percent sign and can't end with period or space.,%,,.  ,,"^(?!.*[\.]$)(?!.* $)[^%]{1,128}$",
