resource,assetType,optional,exclude,property,shortName,scope,lengthMin,lengthMax,validText,invalidText,invalidCharacters,invalidCharactersStart,invalidCharactersEnd,invalidCharactersConsecutive,regx,staticValues
Microsoft.Authorization/policySetDefinitions,Policy Set Definition,UnitDept,"Org,VmRole",Resoure Name,psd,scope of definition,1,64,Display name can contain any characters.,Can't include percent sign and can't end with period or space.,%,,.  ,,"^(?!.*[\.]$)(?!.* $)[^%]{1,64}$",
Microsoft.Authorization/policySetDefinitions,Policy Set Definition,UnitDept,"Org,VmRole",Management Group Resource Name,psd,scope of definition,1,24,Display name can contain any characters.,Can't include percent sign and can't end with period or space.,%,,.  ,,"^(?!.*[\.]$)(?!.* $)[^%]{1,24}$",
Microsoft.Automation/automationAccounts,Automation Account,UnitDept,"Org,VmRole",,aa,resource group & region,6,50,Alphanumerics and hyphens. Start with letter. End with alphanumeric.,,,,,,"^[a-zA-Z][a-zA-Z0-9-]{4,48}[a-zA-Z0-9]$",
Microsoft.Automation/automationAccounts/certificates,Automation Account - Certificate,UnitDept,"Org,VmRole",,cert,automation account,1,128,,"Angle brackets, asterisk, percent sign, ampersand, colon, backslash, question mark, period, plus sign, and slash. Can't end with space.",<>*%&:\?.+/,, ,,"^(?:[^ ]|[^<>\*%&:\\\?\.\+\/]{1,127}[^ ])$",
Microsoft.Automation/automationAccounts/connections,Automation Account - Connection,UnitDept,"Org,VmRole",,conn,automation account,1,128, ,"Angle brackets, asterisk, percent sign, ampersand, colon, backslash, question mark, period, plus sign, and slash. Can't end with space.",<>*%&:\?.+/,, ,,"^(?:[^ ]|[^<>\*%&:\\\?\.\+\/]{1,127}[^ ])$",
Microsoft.Automation/automationAccounts/credentials,Automation Account - Credential,UnitDept,"Org,VmRole",,cred,automation account,1,128, ,"Angle brackets, asterisk, percent sign, ampersand, colon, backslash, question mark, period, plus sign, and slash. Can't end with space.",<>*%&:\?.+/,,  ,,"^(?:[^ ]|[^<>\*%&:\\\?\.\+\/]{1,127}[^ ])$",
Microsoft.Automation/automationAccounts/runbooks,Automation Account - Runbook,UnitDept,"Org,VmRole",,runbk,automation account,1,63,"Alphanumerics, underscores, and hyphens. Start with a letter.",,,,,,"^(?:[a-zA-Z]|[a-zA-Z][a-zA-Z0-9_-]{0,62})$",
Microsoft.Automation/automationAccounts/schedules,Automation Account - Schedule,UnitDept,"Org,VmRole",,sched,automation account,1,128, ,"Angle brackets, asterisk, percent sign, ampersand, colon, backslash, question mark, period, plus sign, and slash. Can't end with space.",<>*%&:\?.+/,, ,,"^(?:[^ ]|[^<>\*%&:\\\?\.\+\/]{1,127}[^ ])$",
Microsoft.Automation/automationAccounts/variables,Automation Account - Variable,UnitDept,"Org,VmRole",,var,automation account,1,128,,"Angle brackets, asterisk, percent sign, ampersand, colon, backslash, question mark, period, plus sign, and slash. Can't end with space.",<>*%&:\?.+/,, ,,"^(?:[^ ]|[^<>\*%&:\\\?\.\+\/]{1,127}[^ ])$",
Microsoft.Automation/automationAccounts/watchers,Automation Account - Watcher,UnitDept,"Org,VmRole",,watch,automation account,1,63,"Alphanumerics, underscores, and hyphens. Start with a letter.",,,,,,"^(?:[a-zA-Z]|[a-zA-Z][a-zA-Z0-9_-]{0,62})$",
Microsoft.Automation/automationAccounts/webhooks,Automation Account - Webhook,UnitDept,"Org,VmRole",,wbhk,automation account,1,128,,"Angle brackets, asterisk, percent sign, ampersand, colon, backslash, question mark, period, plus sign, and slash. Can't end with space.",<>*%&:\?.+/,, ,,"^(?:[^ ]|[^<>\*%&:\\\?\.\+\/]{1,127}[^ ])$",
Microsoft.Batch/batchAccounts,Batch Account,UnitDept,"Org,VmRole",,ba,region,3,24,Lowercase letters and numbers.,,,,,,"^[a-z0-9]{3,24}$",
Microsoft.Batch/batchAccounts/applications,Batch Account - Application,UnitDept,"Org,VmRole",,appl,batch account,1,64,"Alphanumerics, underscores, and hyphens.",,,,,,"^[a-zA-Z0-9_-]{1,64}$",
Microsoft.Batch/batchAccounts/certificates,Batch Account - Certificate,UnitDept,"Org,VmRole",,cert,batch account,5,45,"Alphanumerics, underscores, and hyphens.",,,,,,"^[a-zA-Z0-9_-]{5,45}$",
Microsoft.Batch/batchAccounts/pools,Batch Account - Pool,UnitDept,"Org,VmRole",,pool,batch account,1,64,"Alphanumerics, underscores, and hyphens.",,,,,,"^[a-zA-Z0-9_-]{1,64}$",
Microsoft.Blockchain/blockchainMembers,Blockchain Member,UnitDept,"Org,VmRole",,blchm,global,2,20,Lowercase letters and numbers. Start with lowercase letter.,,,,,,"^[a-z][a-z0-9]{2,24}$",
Microsoft.Blueprint/blueprintAssignments,Blueprint Assignment,"Org,UnitDept,Location,Instance",VmRole,,bpas,tenant,1,90,"Letters, numbers, hyphens, and periods.",,,,,,"^[a-zA-Z0-9-.]{1,90}$",
Microsoft.Blueprint/blueprints,Blueprint,"Org,UnitDept,Location,Instance",VmRole,,bp,tenant,1,48,"Letters, numbers, hyphens, and periods.",,,,,,"^[a-zA-Z0-9-.]{1,48}$",
Microsoft.Blueprint/blueprints/artifacts,Blueprint Artifact,"Org,UnitDept,Location,Instance",VmRole,,bpa,tenant,1,48,"Letters, numbers, hyphens, and periods.",,,,,,"^[a-zA-Z0-9-.]{1,48}$",
Microsoft.Blueprint/blueprints/versions,Blueprint Version,"Org,UnitDept,Location,Instance",VmRole,,bpv,tenant,1,20,"Letters, numbers, hyphens, and periods.",,,,,,"^[a-zA-Z0-9-.]{1,20}$",
Microsoft.BotService/botServices,Bot Service,UnitDept,"Org,VmRole",,botsvc,global,2,64,"Alphanumerics, underscores, periods, and hyphens. Start with alphanumeric.",,,,,,"^[a-zA-Z0-9][a-zA-Z0-9_\.-]{1,63}$",
Microsoft.BotService/botServices/channels,Bot Service Channel,UnitDept,"Org,VmRole",,chan,bot service,2,64,"Alphanumerics, underscores, periods, and hyphens. Start with alphanumeric.",,,,,,"^[a-zA-Z0-9][a-zA-Z0-9_\.-]{1,63}$",
Microsoft.BotService/botServices/Connections,Bot Service Connection,UnitDept,"Org,VmRole",,conn,bot service,2,64,"Alphanumerics, underscores, periods, and hyphens. Start with alphanumeric.",,,,,,"^[a-zA-Z0-9][a-zA-Z0-9_\.-]{1,63}$",
Microsoft.BotService/enterpriseChannels,Bot Service Enterprise Channel,UnitDept,"Org,VmRole",,botec,resource group,2,64,"Alphanumerics, underscores, periods, and hyphens. Start with alphanumeric.",,,,,,"^[a-zA-Z0-9][a-zA-Z0-9_\.-]{1,63}$",
Microsoft.Cache/Redis,Redis Cache,UnitDept,"Org,VmRole",,redis,global,1,63,Alphanumerics and hyphens. Start and end with alphanumeric.,Consecutive hyphens not allowed.,,,,-,"^(?!.*-{2}.*)([a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9-]{0,61}[a-zA-Z0-9])$",
Microsoft.Cache/Redis/firewallRules,Redis Cache Firewall Rule,UnitDept,"Org,VmRole",,rule,Redis,1,256,Alphanumerics,,,,,,"^[a-zA-Z0-9]{1,256}$",
Microsoft.Cdn/profiles,CDN Profile,UnitDept,"Org,VmRole",,cdnp,resource group,1,260,Alphanumerics and hyphens. Start and end with alphanumeric.,,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9-]{0,258}[a-zA-Z0-9])$",
Microsoft.Cdn/profiles/endpoints,CDN Profile Endpoint,UnitDept,"Org,VmRole",,cdnep,global,1,50,Alphanumerics and hyphens. Start and end with alphanumeric.,,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9-]{0,48}[a-zA-Z0-9])$",
Microsoft.CertificateRegistration/certificateOrders,Certificate Registration - Order,UnitDept,"Org,VmRole",,cerco,resource group,3,30,Alphanumerics.,,,,,,"^[a-zA-Z0-9]{3,30}$",
Microsoft.CognitiveServices/accounts,Cognitive Services Account,UnitDept,"Org,VmRole",,coga,resource group,2,64,Alphanumerics and hyphens. Start and end with alphanumeric.,,,,,,"^[a-zA-Z0-9][a-zA-Z0-9-]{0,62}[a-zA-Z0-9]$",
Microsoft.Compute/availabilitySets,Availability Set,"UnitDept,VmRole",Org,,avset,resource group,1,80,"Alphanumerics, underscores, periods, and hyphens. Start with alphanumeric. End with alphanumeric or underscore",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,78}[a-zA-Z0-9_])$",
Microsoft.Compute/cloudServices,Cloud Service,,,,cldsvc,,,,,,,,,,,
Microsoft.Compute/diskEncryptionSets,Disk Encryption Set,UnitDept,"Org,VmRole",,dskes,resource group,1,80,Alphanumerics and underscores.,,,,,,"^[a-zA-Z0-9_]{1,80}$",
Microsoft.Compute/disks,Disk,UnitDept,Org,Data Disk,dsk,resource group,1,80,Alphanumerics and underscores.,,,,,,"^[a-zA-Z0-9_]{1,80}$",
Microsoft.Compute/disks,Disk,UnitDept,Org,OS Disk,osdsk,resource group,1,80,Alphanumerics and underscores.,,,,,,"^[a-zA-Z0-9_]{1,80}$",
Microsoft.Compute/galleries,Compute Gallery,UnitDept,"Org,VmRole",,gal,resource group,1,80,Alphanumerics and periods. Start and end with alphanumeric.,,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9\.]{0,78}[a-zA-Z0-9])$",
Microsoft.Compute/galleries/applications,Compute Gallery Application,UnitDept,"Org,VmRole",,app,gallery,1,80,"Alphanumerics, hyphens, and periods. Start and end with alphanumeric.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9-\.]{0,78}[a-zA-Z0-9])$",
Microsoft.Compute/galleries/applications/versions,Compute Gallery Application Version,UnitDept,"Org,VmRole",,apver,application,,,32-bit integer. Numbers and periods.,,,,,,^[0-9]+[\.][0-9]+[\.][0-9]+$,1.0.0
Microsoft.Compute/galleries/images,Compute Gallery Image,UnitDept,"Org,VmRole",,gimg,gallery,1,80,"Alphanumerics, underscores, hyphens, and periods. Start and end with alphanumeric.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,78}[a-zA-Z0-9])$",
Microsoft.Compute/galleries/images/versions,Compute Gallery Image Version,UnitDept,"Org,VmRole",,,image,,,32-bit integer. Numbers and periods.,,,,,,^[0-9]+[\.][0-9]+[\.][0-9]+$,1.0.0
Microsoft.Compute/images,Image,UnitDept,"Org,VmRole",,img,resource group,1,80,"Alphanumerics, underscores, periods, and hyphens. Start with alphanumeric. End with alphanumeric or underscore",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,78}[a-zA-Z0-9_])$",
Microsoft.Compute/snapshots,Snapshot,UnitDept,Org,,snap,resource group,1,80,"Alphanumerics, underscores, periods, and hyphens. Start with alphanumeric. End with alphanumeric or underscore",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,78}[a-zA-Z0-9_])$",
Microsoft.Compute/virtualMachines,Virtual Machine (Windows),UnitDept,Org,Windows,vm,resource group,1,15, ,"Backslash, slash, double quote, single quote, square brackets, colon, pipe, angle brackets, plus sign, equals sign, semi-colon, comma, question mark, asterisk, at sign, ampersand, and underscore. Can't include space or period. Can't end with hyphen.","\/\'[]:|<>+=;,?*@&_ .\""",,-,,"^(?!.*-$)[^\\\/\\[\\]:|<>\+=;,\?@&_\. \*]{1,15}$",
Microsoft.Compute/virtualMachines,Virtual Machine (Linux),UnitDept,Org,Linux,vm,resource group,1,64, ,"Backslash, slash, double quote, single quote, square brackets, colon, pipe, angle brackets, plus sign, equals sign, semi-colon, comma, question mark, asterisk, at sign, ampersand, and underscore. Can't end with period or hyphen.","\/\'[]:|<>+=;,?*@&_\""",,.-,,"^(?!.*[.]$)(?!.*-$)[^\\\/\\[\\]:|<>\+=;,\?@&_\*]{1,64}$",
Microsoft.Compute/virtualMachineScaleSets,Virtual Machine Scale Set (Windows),UnitDept,Org,Windows,vmss,resource group,1,15,,"Backslash, slash, double quote, single quote, square brackets, colon, pipe, angle brackets, plus sign, equals sign, semi-colon, comma, question mark, asterisk, at sign, and ampersand. Can't use space. Can't start with underscore.  Can't end with period or hyphen.","\/\""'[]:|<>+=;,?*@& ",_,.-,,"^(?!_.*$)(?!.*[-.]$)[^\""\\\/\\[\\]:|<>\+=;,\?@& \*]{1,15}$",
Microsoft.Compute/virtualMachineScaleSets,Virtual Machine Scale Set (Linux),UnitDept,Org,Linux,vmss,resource group,1,64,,"Backslash, slash, double quote, single quote, square brackets, colon, pipe, angle brackets, plus sign, equals sign, semi-colon, comma, question mark, asterisk, at sign, and ampersand. Can't use space. Can't start with underscore.  Can't end with period or hyphen.","\/\""'[]:|<>+=;,?*@& ",_,.-,,"^(?!_.*$)(?!.*[-\.]$)[^\\\/\\[\\]:|<>\+=;,\?@& \*]{1,64}$",
Microsoft.ContainerInstance/containerGroups,Container Instance - Group,UnitDept,"Org,VmRole",,congp,resource group,1,63,"Lowercase letters, numbers, and hyphens.",Can't start or end with hyphen. Consecutive hyphens aren't allowed.,,-,-,-,"^(?!-.*)(?!.*-$)(?!.*-{2}.*)[a-z0-9-]{1,63}$",
Microsoft.ContainerRegistry/registries,Container Registry,UnitDept,"Org,VmRole",,conrg,global,5,50,Alphanumerics.,,,,,,"^[a-zA-Z0-9]{5,50}$",
Microsoft.ContainerRegistry/registries/buildTasks,Container Registry - Build Task,UnitDept,"Org,VmRole",,btsks,registry,5,50,Alphanumerics.,,,,,,"^[a-zA-Z0-9]{5,50}$",
Microsoft.ContainerRegistry/registries/buildTasks/steps,Container Registry - Build Task Step,UnitDept,"Org,VmRole",,steps,build task,5,50,Alphanumerics.,,,,,,"^[a-zA-Z0-9]{5,50}$",
Microsoft.ContainerRegistry/registries/replications,Container Registry - Replication,UnitDept,"Org,VmRole",,rep,registry,5,50,Alphanumerics.,,,,,,"^[a-zA-Z0-9]{5,50}$",
Microsoft.ContainerRegistry/registries/scopeMaps,Container Registry - Scope Map,UnitDept,"Org,VmRole",,scmap,registry,5,50,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{5,50}$",
Microsoft.ContainerRegistry/registries/tasks,Container Registry - Task,UnitDept,"Org,VmRole",,tasks,registry,5,50,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{5,50}$",
Microsoft.ContainerRegistry/registries/tokens,Container Registry - Token,UnitDept,"Org,VmRole",,tokn,registry,5,50,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{5,50}$",
Microsoft.ContainerRegistry/registries/webhooks,Container Registry - Webhook,UnitDept,"Org,VmRole",,webhk,registry,5,50,Alphanumerics.,,,,,,"^[a-zA-Z0-9]{5,50}$",
Microsoft.ContainerService/managedClusters,Container Service Managed Cluster,UnitDept,"Org,VmRole",,aks,resource group,1,63,"Alphanumerics, underscores, and hyphens. Start and end with alphanumeric.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_-]{0,61}[a-zA-Z0-9])$",
Microsoft.ContainerServiceopenShiftManagedClusters,Container Service Open Shift Managed Cluster,UnitDept,"Org,VmRole",,osmc,resource group,1,30,Alphanumerics.,,,,,,"^[a-zA-Z0-9]{1,30}$",
Microsoft.CustomerInsights/hubs,Customer Insight,UnitDept,"Org,VmRole",,cihub,resource group,1,64,Alphanumerics. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9]{0,63}$",
Microsoft.CustomerInsights/hubs/authorizationPolicies,Customer Insight - Authorization Policy,UnitDept,"Org,VmRole",,authp,hub,1,50,"Alphanumerics, underscores, and periods. Start and end with alphnumeric.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_-]{0,48}[a-zA-Z0-9])$",
Microsoft.CustomerInsights/hubs/connectors,Customer Insight - Connector,UnitDept,"Org,VmRole",,conn,hub,1,128,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,127}$",
Microsoft.CustomerInsights/hubs/connectors/mappings,Customer Insight - Connector Mapping,UnitDept,"Org,VmRole",,map,connector,1,128,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,127}$",
Microsoft.CustomerInsights/hubs/interactions,Customer Insight - Interaction,UnitDept,"Org,VmRole",,int,hub,1,128,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,127}$",
Microsoft.CustomerInsights/hubs/kpi,Customer Insight - KPI,UnitDept,"Org,VmRole",,kpi,hub,1,512,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,511}$",
Microsoft.CustomerInsights/hubs/links,Customer Insight - Link,UnitDept,"Org,VmRole",,link,hub,1,512,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,511}$",
